After minimisation    1385.30  1128     1.228

Chi2 Bartlett factor (rescales the chi2) =     0.992674
Confidence Intervals Bartlett factor (rescales PDF uncertainties) =     1.262771
  Partial chi2s 
Dataset    1    456.04( +7.88)   377  HERA1+2 NCep 920                                
Dataset    2     69.75( +0.02)    70  HERA1+2 NCep 820                                
Dataset    3    220.04( +1.05)   254  HERA1+2 NCep 575                                
Dataset    4    220.82( -0.88)   204  HERA1+2 NCep 460                                
Dataset    5    216.65( -0.22)   159  HERA1+2 NCem                                    
Dataset    6     44.22( +0.37)    39  HERA1+2 CCep                                    
Dataset    7     54.68( -2.12)    42  HERA1+2 CCem                                    

 Correlated Chi2    96.997824338518555     
 Log penalty Chi2    6.0921630229302863     
 Systematic shifts          169
  
                                Name          Shift   +/-    Error  Bartlett      Type
   66  sysHZComb1023                          0.1047   +/-   0.9432    1.0000        :N:M:D
   67  sysHZComb1024                          0.0258   +/-   0.9877    1.0000        :N:M:D
   68  sysHZComb1025                          0.1861   +/-   0.9931    1.0000        :N:M:D
   69  sysHZComb1026                         -0.7587   +/-   0.9189    1.0000        :N:M:D
   70  sysHZComb1027                         -0.9437   +/-   0.9539    1.0000        :N:M:D
   71  sysHZComb1028                          0.7123   +/-   0.9746    1.0000        :N:M:D
   72  sysHZComb1029                         -0.3450   +/-   0.9151    1.0000        :N:M:D
   73  sysHZComb1031                         -0.5098   +/-   0.8337    1.0000        :N:M:D
   74  sysHZComb1032                          0.5022   +/-   0.9605    1.0000        :N:M:D
   75  sysHZComb1033                          0.3765   +/-   0.9693    1.0000        :N:M:D
   76  sysHZComb1034                         -0.4103   +/-   0.9838    1.0000        :N:M:D
   77  sysHZComb1035                          0.0963   +/-   0.9780    1.0000        :N:M:D
   78  sysHZComb1037                          0.6549   +/-   0.9675    1.0000        :N:M:D
   79  sysHZComb1038                         -0.1042   +/-   0.9104    1.0000        :N:M:D
   80  sysHZComb1039                         -0.2360   +/-   0.9519    1.0000        :N:M:D
   81  sysHZComb1040                          0.0022   +/-   0.9267    1.0000        :N:M:D
   82  sysHZComb1043                          0.0527   +/-   0.9063    1.0000        :N:M:D
   83  sysHZComb1057                          0.3768   +/-   0.9165    1.0000        :N:M:D
   84  sysHZComb1058                         -0.1537   +/-   0.9352    1.0000        :N:M:D
   85  sysHZComb1059                         -0.6897   +/-   0.8631    1.0000        :N:M:D
   86  sysHZComb1060                          0.0260   +/-   0.9786    1.0000        :N:M:D
   87  sysHZComb1061                          0.2095   +/-   0.9813    1.0000        :N:M:D
   88  sysHZComb1062                         -1.3515   +/-   0.8919    1.0000        :N:M:D
   89  sysHZComb1063                          0.7698   +/-   0.8289    1.0000        :N:M:D
   90  sysHZComb1064                          1.2444   +/-   0.9147    1.0000        :N:M:D
   91  sysHZComb1065                         -0.9489   +/-   0.9464    1.0000        :N:M:D
   92  sysHZComb1066                         -0.1001   +/-   0.9202    1.0000        :N:M:D
   93  sysHZComb1067                         -0.4513   +/-   0.9536    1.0000        :N:M:D
   94  sysHZComb1068                         -0.2618   +/-   0.9165    1.0000        :N:M:D
   95  sysHZComb1069                         -0.4308   +/-   0.9097    1.0000        :N:M:D
   96  sysHZComb1070                          0.4644   +/-   0.9066    1.0000        :N:M:D
   97  sysHZComb1071                         -1.2626   +/-   0.8543    1.0000        :N:M:D
   98  sysHZComb1072                         -0.1843   +/-   0.9695    1.0000        :N:M:D
   99  sysHZComb1073                         -0.4563   +/-   0.8902    1.0000        :N:M:D
  100  sysHZComb1074                          0.0088   +/-   0.9331    1.0000        :N:M:D
  101  sysHZComb1075                          0.4894   +/-   0.8631    1.0000        :N:M:D
  102  sysHZComb1076                         -0.0671   +/-   0.9603    1.0000        :N:M:D
  103  sysHZComb1077                         -0.8387   +/-   0.9607    1.0000        :N:M:D
  104  sysHZComb1078                         -0.2668   +/-   0.9730    1.0000        :N:M:D
  105  sysHZComb1079                         -0.0108   +/-   0.8832    1.0000        :N:M:D
  106  sysHZComb1080                         -0.5869   +/-   0.9241    1.0000        :N:M:D
  107  sysHZComb1081                         -0.0489   +/-   0.8866    1.0000        :N:M:D
  108  sysHZComb1082                         -0.4979   +/-   0.8359    1.0000        :N:M:D
  109  sysHZComb1083                         -1.0568   +/-   0.8866    1.0000        :N:M:D
  110  sysHZComb1084                          0.2608   +/-   0.9678    1.0000        :N:M:D
  111  sysHZComb1086                          0.2523   +/-   0.7884    1.0000        :N:M:D
  112  sysHZComb1087                          0.0822   +/-   0.8467    1.0000        :N:M:D
  113  sysHZComb1088                         -0.0151   +/-   0.9892    1.0000        :N:M:D
  114  sysHZComb1090                          0.7243   +/-   0.9419    1.0000        :N:M:D
  115  sysHZComb1091                          0.8499   +/-   0.8863    1.0000        :N:M:D
  116  sysHZComb1092                          0.0820   +/-   0.8068    1.0000        :N:M:D
  117  sysHZComb1093                          0.1836   +/-   0.7901    1.0000        :N:M:D
  118  sysHZComb1095                         -0.3809   +/-   0.8449    1.0000        :N:M:D
  119  sysHZComb1096                          0.3392   +/-   0.8946    1.0000        :N:M:D
  120  sysHZComb1097                          0.3279   +/-   0.9879    1.0000        :N:M:D
  121  sysHZComb1098                          1.0336   +/-   0.7289    1.0000        :N:M:D
  122  sysHZComb1099                         -0.6911   +/-   0.6791    1.0000        :N:M:D
  123  sysHZComb1100                         -1.1585   +/-   0.6832    1.0000        :N:M:D
  124  sysHZComb1101                         -0.6774   +/-   0.7685    1.0000        :N:M:D
