!
! This datafile is a successor of the Dataset 3.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e+p 94-97'
   NData =  130                        ! Number of data points
   NColumn =  24                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',20*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor',2*'ignore','h1_nc_high_beta_9','h1_nc_high_beta_10','h1_nc_high_beta_11','h1_nc_high_beta_5','B2',9*'ignore','xlum_3','corlum'

   NInfo    = 4
   DataInfo =  301.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 3

   Reaction = 'NC e+-p'

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	u^E+	u^th+	u^h+	F2	Dall	DF2	DF3	DFL	Dqed	xlum	corlum

   Percent = 20*true

&END
0.0500	3000.		0.663	0.513	7.300	3.800	1.400	8.400	0.700	-0.300	0.800	0.600	-0.600	0.800	0.600	1.500	0.558	-8.000	6.000	-11.000	-2.200	10.900	1.414	0.500
0.0800	3000.		0.414	0.458	7.700	4.000	1.300	8.700	-0.500	-0.200	0.900	0.700	-0.200	0.600	0.500	1.700	0.481	-4.800	5.800	-9.300	-0.500	10.600	1.414	0.500
0.1300	3000.		0.255	0.347	9.100	4.300	2.100	10.200	2.000	-0.200	0.100	0.600	0.000	2.100	0.500	0.100	0.356	-2.300	5.400	-7.000	-0.100	9.900	1.414	0.500
0.1800	3000.		0.184	0.324	9.200	4.000	1.000	10.000	0.600	-0.200	0.300	0.700	0.000	0.300	0.400	0.600	0.327	-1.000	5.100	-5.500	0.000	9.300	1.414	0.500
0.2500	3000.		0.133	0.242	9.900	4.400	2.200	11.100	2.100	-0.100	-0.400	-0.500	0.000	2.100	0.200	0.700	0.242	0.100	4.800	-4.200	0.000	8.300	1.414	0.500
0.4000	3000.		0.083	0.127	12.500	7.100	5.600	15.400	4.700	-0.300	-2.200	-2.100	0.000	4.600	0.600	3.500	0.126	1.300	4.400	-2.700	0.000	5.800	1.414	0.500
0.6500	3000.		0.051	0.012	30.100	10.900	10.200	33.600	6.200	-0.300	-3.200	-7.400	0.000	7.000	0.500	5.200	0.012	2.000	4.000	-1.600	0.000	0.200	1.414	0.500
0.0800	5000.		0.690	0.353	10.400	4.400	1.600	11.400	0.300	-0.300	1.100	0.900	-0.700	1.000	0.600	1.700	0.412	-14.300	10.800	-22.300	-1.800	11.600	1.414	0.500
0.1300	5000.		0.425	0.392	10.400	4.800	1.600	11.600	1.400	-0.300	0.400	0.500	-0.300	2.000	0.600	0.600	0.429	-8.700	10.100	-17.500	-0.400	11.000	1.414	0.500
0.1800	5000.		0.307	0.223	13.400	4.500	0.600	14.100	0.500	-0.100	0.200	0.200	-0.100	0.900	0.200	0.500	0.235	-5.100	9.600	-13.700	-0.100	10.100	1.414	0.500
