!
! This datafile is a successor of the Dataset 8.
! H1 Collaboration, DESY
!
&Data
   Name  = 'H1 NC High Q2 e+p 99-00'
   NData =  147                        ! Number of data points
   NColumn =  24                       ! Number of all columns
   ColumnType = 3*'Bin','Sigma',20*'Error'
   ColumnName = 'x','Q2','y','reduced x-section','stat','uncor','ignore','ignore','h1_nc_high_beta_9','h1_nc_high_beta_15','h1_nc_high_beta_11','h1_nc_high_beta_5','B2','h1_nc_high_beta_16',8*'ignore','xlum_5','corlum'

   NInfo    = 4
   DataInfo =  318.,	+1.,	1.,	0.
   CInfo    = 'sqrt(S)','e charge','reduced','e polarity'

   IndexDataset = 8

   Reaction = 'NC e+-p'          

!x	Q2		y	sig_NC	stat	unc	cor	tot	c^E+	c^th+	c^h+	c^N+	c^B+	c^S+	sys	u^E	u^h	phi/Y+	F2	dF2	dF3	dFL	xlum	corlum

   Percent = 20*true

&END	
0.13000	650.		0.049	0.375	3.700	3.000	1.900	5.100	0.800	-0.900	-0.100	1.500	0.000	0.000	3.500	0.700	0.200	0.375	0.374	0.700	-0.300	0.000	1.414	0.500
0.18000	650.		0.036	0.299	4.300	4.500	3.400	7.100	2.900	-1.100	-1.100	-1.000	0.000	0.000	5.700	2.900	1.600	0.299	0.298	0.600	-0.300	0.000	1.414	0.500
0.25000	650.		0.026	0.253	5.200	5.600	5.500	9.400	3.100	-1.000	-2.100	-3.900	0.000	0.000	7.800	3.100	2.800	0.253	0.252	0.600	-0.200	0.000	1.414	0.500
0.40000	650.		0.016	0.147	8.100	7.900	12.500	16.800	4.500	-1.800	-2.700	-11.200	0.000	0.000	14.700	4.500	3.200	0.147	0.147	0.500	-0.100	0.000	1.414	0.500
0.01050	800.		0.750	0.948	4.500	4.200	1.500	6.300	0.900	-1.200	0.200	0.000	0.000	0.200	4.400	1.200	0.100	0.949	0.000	0.000	0.000	0.000	1.414	0.500
0.01300	800.		0.606	0.864	4.600	3.500	1.500	6.000	0.300	-1.500	0.200	0.300	-0.300	0.000	3.800	0.200	0.200	0.865	0.000	0.000	0.000	0.000	1.414	0.500
0.02000	800.		0.394	0.755	3.400	3.000	1.300	4.700	0.000	-0.500	1.000	0.800	-0.100	0.000	3.300	0.100	1.100	0.756	0.764	1.100	-1.000	-1.100	1.414	0.500
0.03200	800.		0.246	0.584	3.600	2.900	0.800	4.700	-0.800	0.000	0.200	0.300	-0.100	0.000	3.000	0.700	0.300	0.585	0.586	1.100	-0.900	-0.300	1.414	0.500
0.05000	800.		0.158	0.554	3.500	2.900	0.900	4.600	0.600	0.500	0.500	0.300	0.000	0.000	3.000	0.500	0.500	0.555	0.553	1.100	-0.800	-0.100	1.414	0.500
0.08000	800.		0.098	0.451	3.800	3.000	1.200	5.000	0.700	-0.500	-0.400	0.800	0.000	0.000	3.200	0.700	0.200	0.451	0.450	1.000	-0.600	0.000	1.414	0.500
0.13000	800.		0.061	0.358	4.500	3.500	2.100	6.100	1.100	-1.400	0.000	1.300	0.000	0.000	4.100	1.100	0.900	0.358	0.357	1.000	-0.500	0.000	1.414	0.500
0.18000	800.		0.044	0.324	4.900	4.100	2.200	6.700	1.800	-0.300	-0.400	1.100	0.000	0.000	4.700	1.800	1.200	0.324	0.323	0.900	-0.400	0.000	1.414	0.500
0.25000	800.		0.032	0.257	5.800	6.200	6.600	10.700	4.000	-1.300	-2.000	-4.700	0.000	0.000	9.000	4.000	2.500	0.257	0.256	0.800	-0.300	0.000	1.414	0.500
0.40000	800.		0.020	0.128	9.500	8.500	8.600	15.400	5.200	-1.800	-1.800	-6.500	0.000	0.000	12.100	5.000	3.400	0.128	0.127	0.700	-0.200	0.000	1.414	0.500
0.65000	800.		0.012	0.0186	16.400	10.400	12.900	23.300	2.900	0.700	-2.200	-12.400	0.000	0.000	16.500	2.800	2.200	0.019	0.018	2.500	-0.100	0.000	1.414	0.500
0.01300	1000.		0.757	0.886	5.000	3.700	1.500	6.400	-0.200	-0.600	0.600	0.100	-1.200	0.000	4.000	0.100	0.300	0.888	0.000	0.000	0.000	0.000	1.414	0.500
0.02000	1000.		0.492	0.745	3.900	3.000	1.500	5.200	0.100	-0.700	1.100	0.800	-0.200	0.000	3.400	0.000	1.200	0.746	0.761	1.600	-1.600	-1.900	1.414	0.500
0.03200	1000.		0.308	0.653	4.000	3.300	2.200	5.600	1.500	-1.500	0.700	0.600	0.000	0.000	4.000	1.500	1.000	0.653	0.656	1.500	-1.400	-0.500	1.414	0.500
0.05000	1000.		0.197	0.556	4.100	3.100	1.700	5.500	1.300	-1.100	0.000	0.200	0.000	0.000	3.600	1.400	0.000	0.557	0.557	1.400	-1.200	-0.200	1.414	0.500
0.08000	1000.		0.123	0.461	4.300	3.000	0.900	5.300	0.900	0.000	0.000	0.400	0.000	0.000	3.100	0.900	0.000	0.462	0.460	1.400	-1.000	0.000	1.414	0.500
0.13000	1000.		0.076	0.412	5.200	3.400	2.100	6.500	0.800	0.100	0.300	1.900	0.000	0.000	4.000	0.700	0.000	0.413	0.410	1.300	-0.800	0.000	1.414	0.500
0.18000	1000.		0.055	0.319	5.700	3.600	1.200	6.800	1.100	-0.600	-0.300	-0.100	0.000	0.000	3.800	1.100	0.000	0.319	0.317	1.200	-0.600	0.000	1.414	0.500
0.25000	1000.		0.039	0.263	6.300	4.800	3.300	8.600	2.300	0.800	-1.400	-1.800	0.000	0.000	5.800	2.200	2.000	0.263	0.261	1.200	-0.500	0.000	1.414	0.500
0.40000	1000.		0.025	0.130	10.100	7.300	6.200	14.000	3.600	0.300	-1.300	-4.900	0.000	0.000	9.600	3.600	2.900	0.130	0.129	1.000	-0.300	0.000	1.414	0.500
0.65000	1000.		0.015	0.0221	17.700	12.300	17.700	27.900	5.400	0.400	-4.600	-16.300	0.000	0.000	21.600	5.400	4.800	0.022	0.021	3.500	-0.200	0.000	1.414	0.500
0.02000	1200.		0.591	0.777	4.800	3.000	1.500	5.900	0.300	-0.900	1.100	0.700	-0.100	0.000	3.400	0.400	0.900	0.779	0.803	2.100	-2.300	-2.900	1.414	0.500
0.03200	1200.		0.369	0.648	4.500	2.800	1.200	5.400	0.200	0.200	1.000	0.700	0.000	0.000	3.000	0.200	1.200	0.649	0.655	2.000	-2.000	-0.800	1.414	0.500
0.05000	1200.		0.236	0.476	4.900	2.600	1.800	5.800	0.900	-1.600	-0.300	0.400	0.000	0.000	3.200	0.900	0.300	0.477	0.477	1.900	-1.800	-0.200	1.414	0.500
0.08000	1200.		0.148	0.468	4.800	2.700	1.500	5.700	0.900	-1.200	0.200	0.400	0.000	0.000	3.100	0.900	0.300	0.469	0.467	1.900	-1.400	-0.100	1.414	0.500
0.13000	1200.		0.091	0.422	5.700	3.300	1.800	6.800	1.600	-0.700	-0.300	0.500	0.000	0.000	3.800	1.700	0.400	0.423	0.420	1.700	-1.100	0.000	1.414	0.500
0.18000	1200.		0.066	0.324	6.500	3.100	1.200	7.300	0.700	-0.700	-0.100	0.800	0.000	0.000	3.300	0.700	0.100	0.324	0.322	1.600	-0.900	0.000	1.414	0.500
0.25000	1200.		0.047	0.268	7.000	3.800	2.100	8.300	1.600	-0.800	-1.000	-0.300	0.000	0.000	4.400	1.600	1.300	0.268	0.266	1.600	-0.700	0.000	1.414	0.500
0.40000	1200.		0.030	0.118	11.600	7.800	9.600	16.900	5.200	-1.300	-3.200	-7.300	0.000	0.000	12.400	5.200	3.800	0.118	0.117	1.400	-0.400	0.000	1.414	0.500
0.65000	1200.		0.018	0.0238	19.600	13.600	15.000	28.200	9.000	-2.800	-4.000	-11.000	0.000	0.000	20.300	9.100	5.400	0.024	0.023	3.900	-0.300	0.000	1.414	0.500
0.02000	1500.		0.738	0.728	6.400	3.800	1.100	7.500	-0.600	-0.700	0.000	0.000	-0.700	0.000	4.000	1.100	0.400	0.730	0.000	0.000	0.000	0.000	1.414	0.500
0.03200	1500.		0.462	0.597	5.900	3.300	1.100	6.800	0.000	-0.500	1.000	0.400	0.000	0.000	3.500	0.400	1.300	0.598	0.609	2.600	-3.100	-1.300	1.414	0.500
0.05000	1500.		0.295	0.585	5.200	2.800	0.800	6.000	0.500	0.500	0.300	0.400	0.000	0.000	2.900	0.500	0.400	0.586	0.590	2.500	-2.700	-0.400	1.414	0.500
